#Cloud,Name,Av,alpha,T_bol,L_bol,alphaPrime,TbolPrime,LbolPrime,likelyAGB,RA,DEC,Class
Aquila,J180144.8-044941,8.2,-2.2,1700.0,3.0,-2.52,2000.0,8.2,N,270.43666666666667,-4.828055555555555,III
Aquila,J180145.8-045902,8.0,-2.1,1700.0,1.4,-2.56,2000.0,3.7,N,270.44083333333333,-4.983888888888889,III
Aquila,J180154.2-043753,12.4,-2.6,2100.0,0.52,-3.22,2600.0,4.7,N,270.47583333333336,-4.631388888888889,III
Aquila,J180229.2-051552,8.3,-2.0,1700.0,3.6,-2.38,2000.0,9.8,N,270.62166666666667,-5.264444444444444,III
Aquila,J180302.0-044233,12.4,-2.5,2100.0,0.11,-3.15,2500.0,0.92,N,270.7583333333333,-4.7091666666666665,III
Aquila,J180308.0-043523,8.0,-2.2,1700.0,0.24,-2.52,2000.0,0.64,N,270.78333333333336,-4.589722222222222,III
Aquila,J180313.8-042845,6.9,-2.2,1800.0,0.72,-2.53,2000.0,1.7,N,270.8075,-4.479166666666667,III
Aquila,J180423.9-042248,8.9,-2.2,1700.0,2.2,-2.44,2000.0,6.3,N,271.0995833333333,-4.38,III
Aquila,J180435.7-044700,8.1,-2.3,1700.0,1.9,-2.65,2000.0,5.3,N,271.14875,-4.783333333333333,III
Aquila,J180444.5-043706,12.4,0.5,540.0,0.055,-0.1,1000.0,0.11,N,271.18541666666664,-4.618333333333334,Flat
Aquila,J180449.2-043641,6.4,-0.8,1300.0,0.38,-1.35,1600.0,0.72,N,271.205,-4.6113888888888885,II
Aquila,J180449.3-043639,12.4,-1.2,580.0,0.064,-1.4,620.0,0.11,N,271.2054166666667,-4.610833333333333,II
Aquila,J180451.4-043604,7.6,-0.7,1100.0,0.79,-0.86,1500.0,1.5,N,271.21416666666664,-4.601111111111111,II
Aquila,J180512.6-045225,7.1,-2.1,1800.0,1.2,-2.44,2000.0,3.0,N,271.30249999999995,-4.873611111111112,III
Aquila,J180516.2-044818,8.2,-2.1,1500.0,1.6,-2.11,1900.0,4.2,N,271.3175,-4.805,III
Aquila,J180519.4-041840,8.8,-2.0,1500.0,0.75,-2.07,1900.0,2.0,N,271.3308333333333,-4.311111111111111,III
Aquila,J180531.1-043809,12.4,0.2,290.0,0.013,0.0,340.0,0.019,N,271.3795833333333,-4.635833333333333,Flat
Aquila,J180538.4-041601,7.7,-2.2,1700.0,1.0,-2.54,2000.0,2.6,N,271.41,-4.266944444444444,III
Aquila,J180559.6-035928,7.7,-1.8,1600.0,1.6,-1.98,1900.0,4.0,N,271.49833333333333,-3.991111111111111,III
Aquila,J180602.5-042335,7.8,-2.3,1700.0,0.43,-2.52,2000.0,1.1,N,271.5104166666667,-4.393055555555556,III
Aquila,J180614.4-042356,7.2,-2.1,1700.0,0.92,-2.37,2000.0,2.2,N,271.56,-4.398888888888889,III
Aquila,J180624.7-044533,7.9,-2.2,1700.0,3.0,-2.53,2000.0,8.1,N,271.60291666666666,-4.759166666666666,III
Aquila,J180629.7-045022,7.1,-2.2,1800.0,6.0,-2.61,2000.0,15.0,N,271.62375,-4.839444444444444,III
Aquila,J180635.1-042515,5.9,-2.1,1600.0,0.65,-2.04,1900.0,1.3,N,271.64625,-4.420833333333333,III
Aquila,J180651.2-040827,8.5,-2.2,1700.0,4.3,-2.54,2000.0,12.0,N,271.7133333333333,-4.140833333333334,III
Aquila,J180652.1-044349,8.8,-2.0,1700.0,0.67,-2.39,2000.0,2.0,N,271.71708333333333,-4.730277777777778,III
Aquila,J180701.6-044311,7.3,-2.2,1800.0,0.15,-2.61,2000.0,0.38,N,271.75666666666666,-4.719722222222222,III
Aquila,J180733.2-044127,11.5,-2.1,1600.0,1.4,-2.54,2000.0,5.3,N,271.8883333333333,-4.690833333333334,III
Aquila,J180916.7-030928,6.7,-2.0,1800.0,0.91,-2.37,2000.0,2.1,N,272.3195833333333,-3.1577777777777776,III
Aquila,J180935.4-030918,6.4,-2.3,1800.0,1.9,-2.52,2000.0,4.2,N,272.3975,-3.155,III
Aquila,J181028.9-023742,12.4,-0.2,690.0,8.9,-0.12,850.0,18.0,N,272.62041666666664,-2.6283333333333334,Flat
Aquila,J181052.3-024344,6.9,-2.2,1800.0,1.1,-2.52,2000.0,2.6,N,272.71791666666667,-2.728888888888889,III
Aquila,J181128.4-023147,7.3,-2.4,1800.0,1.2,-2.68,2000.0,3.0,N,272.86833333333334,-2.529722222222222,III
Aquila,J181211.8-033118,7.4,-2.2,1700.0,1.3,-2.47,2000.0,3.2,N,273.0491666666667,-3.5216666666666665,III
Aquila,J181231.8-033618,8.4,-1.7,1400.0,4.2,-1.65,1700.0,9.9,N,273.1325,-3.605,III
Aquila,J181320.4-032425,7.1,-2.1,1700.0,0.64,-2.45,2000.0,1.6,N,273.335,-3.4069444444444446,III
Aquila,J181327.6-032351,6.5,-2.2,1800.0,1.2,-2.42,2000.0,2.6,N,273.365,-3.3975,III
Aquila,J181333.3-031850,14.2,-1.8,1400.0,2.7,-2.23,1900.0,12.0,N,273.38875,-3.3138888888888887,III
